Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,Cost_Linear,AIC_Linear,R2_Linear,R2_adj_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,Cost_Ricker,AIC_Ricker,R2_Ricker,R2_adj_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,Cost_Logistic,AIC_Logistic,R2_Logistic,R2_adj_Logistic,m0_optimal_exp,k_optimal_exp,Cost_Exponential,AIC_Exponential,R2_Exponential,R2_adj_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,Cost_Gen_VB,AIC_Gen_VB,R2_Gen_VB,R2_adj_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
22_BESC-1126_2,BESC-1126,0.0,0.032305319682687225,0.004043131015947386,-34.08588706577753,0.9699481596980762,0.9579274235773068,0.2104864526867638,0.07094998409656944,1.5,0.03393953987424492,-11.065396610420613,0.7477337172110939,0.5585340051194144,0.02984723044603241,0.21891403106774768,1.0145838603726145,0.0007541065021644716,-41.51981560300876,0.9943948667296949,0.9901910167769661,0.1591200775307531,0.061236939630089235,0.016657278065374644,-22.759264296173868,0.8761895525247827,0.8266653735346958,0.0030427105772043786,0.11844574069393714,0.30638998421200664,0.9381094603110754,0.0003044241328865355,-39.77670923952074,0.9977372720820885,0.9947203015248732,0.016848794006539373,1.6894013344765322e-07,0.6931478682592542,5.848223167818421e-05,0.28994468656239464
23_BESC-1207_2,BESC-1207,0.2841759778470122,0.0,0.10316823265004717,-5.0997600753628385,-2.220446049250313e-16,-0.5000000000000004,0.2841759792246683,0.0,1.3449183110676037,0.10316823265004714,2.100239924637158,1.1102230246251565e-16,-0.9999999999999998,0.28417597760610935,0.0,0.6749874920523732,0.10316823265004717,2.1002399246371617,-2.220446049250313e-16,-1.0000000000000004,0.2841759752622649,0.0,0.10316823265004718,-5.0997600753628385,-2.220446049250313e-16,-0.5000000000000004,0.28138473108187384,0.01,0.01,0.8,0.1037917445955359,14.142418097263391,-0.006043642790739101,-2.0181309283722175,0.4866857950464352,0.013298067582888732,0.013298067582888708,0.4866857950464352,3.2274741352030054e-05
24_BESC-317_2,BESC-317,0.0,0.02913361047340292,0.005413054793579529,-31.75153350902844,0.9542177072279672,0.9359047901191541,0.19443229964357187,0.06574176988454251,1.5,0.03522848504242578,-10.767202315773496,0.7020460945563454,0.47858066547360445,0.05004413325037784,0.14994883367473932,1.1735568849841769,0.003477228425705324,-29.292157855273274,0.9705904529158472,0.9485332926027327,0.1178015587552791,0.06914689042857283,0.008455019964254185,-28.18395948318345,0.9284895102381009,0.8998853143333413,0.019538142001057836,0.06621711756761821,0.29863024575756403,0.9190421329766206,0.0025051226105553565,-22.915340794509262,0.9788122860085733,0.950562000686671,0.6791312266024196,1.8847948135675333e-05,0.19856699441146491,0.11409453515222559,0.008188395885754103
25_GW-9919_3,GW-9919,0.0,0.03435594204153835,0.0035715803727369997,-35.0779767976494,0.972605547033237,0.9616477658465318,0.2257413562396427,0.07197726145247003,1.5,0.02622847892128466,-13.127275814588408,0.7988243978258147,0.6479426961951757,0.052102515380850145,0.1943382937264924,1.065929999136283,0.0010194112259761445,-39.108240382257264,0.9921809927344871,0.9863167372853525,0.19952740571538724,0.054884778639857974,0.017027525146563922,-22.583392944233786,0.8693968249101843,0.8171555548742581,0.024891941522146813,0.1034901615462484,0.045794832810927034,0.987899263293079,0.001479443066363852,-27.128716548304695,0.9886524929390151,0.9735224835243687,0.11733708130014328,2.0086354617308813e-06,0.8802294583626199,0.00022712810138506037,0.0022043236003899264
26_BESC-1068_5,BESC-1068,0.0,0.025446469667876243,0.016020962539167655,-23.070858044427077,0.8671458877400232,0.8140042428360326,0.17114496971957846,0.0605115450180638,1.5,0.050712739048941496,-7.85262509322882,0.5794637238463318,0.2640615167310807,0.0177259669099805,0.17641202284937127,1.2297408620257235,0.0004951142451959485,-44.885776189198225,0.9958942564560672,0.9928149487981176,0.06057085759203836,0.08936788491212053,0.004062516900928394,-34.04762056885126,0.9663115074956018,0.9528361104938425,0.002384034723792808,0.06642838730818823,0.3242925971077382,0.9416056396104873,0.00014644115783662938,-45.6310949054689,0.9987856341355805,0.9971664796496879,7.459597479521346e-06,3.6992875940918327e-09,0.40715960115053723,0.0018042183282045029,0.5910287172244911
27_BESC-1098_6,BESC-1098,0.18172493519927052,0.03071576395406869,0.023350660236843547,-20.057040156793295,0.8124774902688042,0.7374684863763259,0.22227409976451873,0.13194737723426836,1.4386602296643847,0.018182479855416215,-16.05837435077403,0.8539816767045959,0.7444679342330428,0.05155777692174345,0.3278306688141986,0.9569509814841013,0.004435688869088265,-27.34457879736467,0.9643782445257917,0.9376619279201355,0.3466054674573997,0.0375465384553029,0.04094252411501503,-15.564688373146353,0.6712022358723909,0.5396831302213474,0.026458022505128288,0.19119652918000687,0.1288195282533938,0.961883268503514,0.005132834155130175,-17.17677844372905,0.958779669052556,0.9038192277892972,0.025180155574469405,0.0034100375538059506,0.962780572304927,0.002664137366278873,0.005965097200519036
28_BESC-1154_6,BESC-1154,0.09147424202303067,0.03235052550576473,0.020411094950326274,-21.133413246893447,0.8461143134435303,0.7845600388209424,0.22588109392580372,0.08774282787725234,1.5,0.02708031440401677,-12.871585766502541,0.7958329631815974,0.6427076855677953,0.010833958276228082,0.41664591685034996,0.9184178124705147,0.00572355838726761,-25.30531657068461,0.9568482869677387,0.9244845021935427,0.272353449823754,0.044739313156430704,0.03700723649835305,-16.37313443539857,0.7209907645833733,0.6093870704167226,2.0885323035691408e-05,0.2408162639323254,0.3190161847611323,0.9641854361055064,0.005306778436120868,-16.91016260298187,0.9599905225548679,0.9066445526280252,0.1077365881056804,0.0017311319635045879,0.8675220338897868,0.009969693518718162,0.013040552522310176
29_GW-9842_5,GW-9842,0.08374443053119736,0.02610333919394741,0.007777355533325822,-28.852311234520556,0.9037994890115033,0.8653192846161046,0.19656269997873285,0.07492364835599805,1.5,0.015471303168662999,-17.35014703604213,0.8086306760561751,0.6651036830983065,0.15193152733778606,0.10113147762916191,1.1184201448819928,0.011159241666547262,-19.963898202911828,0.8619678956470569,0.7584438173823496,0.20413434245010628,0.04885292933555827,0.012591655472394851,-24.9977675881127,0.8442499271834769,0.7819498980568677,0.09884911360410087,0.06063164883425499,0.3894409981037423,0.8,0.009127968149635447,-12.571297245857536,0.8870933447083722,0.7365511376528684,0.861503061998989,0.0027390099171321148,0.010119579326037428,0.12538722976675348,0.0002511189910880609
30_BESC-1231_1,BESC-1231,0.4876020261919063,0.0,0.11993603730717846,-4.045576905230619,-2.220446049250313e-16,-0.5000000000000004,0.4876020052673322,0.0,1.4907748333926139,0.11993603730717885,3.154423094769406,-3.3306690738754696e-15,-1.0000000000000067,1.0,0.0031241482704043085,0.028512994737535075,,-8.085002477585718,0.7992374122725976,0.5984748245451952,0.48760201897272204,0.0,0.1199360373071785,-4.045576905230615,-4.440892098500626e-16,-0.5000000000000007,0.4833548709415791,0.01,0.01,0.8,0.1212415643945338,15.230207734879567,-0.01088519444753433,-2.0326555833426028,0.1045636921057157,0.002857069301160696,0.7880087278521809,0.10456369210571549,6.818635227093174e-06
31_BESC-1068_4,BESC-1068,0.02112603351316276,0.03313849805414109,0.0018297895447232089,-40.428434573005106,0.9846995289175016,0.9785793404845022,0.2220038495339172,0.07434806585809249,1.5,0.020159429755171602,-15.232664977062512,0.8314293723569617,0.7050014016246829,0.06815693735988206,0.1828590574775386,1.035124587980147,0.0010342319383305678,-38.99276973054659,0.9913518820179854,0.9848657935314744,0.20895699520059696,0.052767314172251625,0.014718798087678156,-23.74903856533907,0.8769232531910008,0.8276925544674012,0.032875137182774315,0.09539686873525596,0.2902977527754602,0.9040035353080794,0.00046503510270419154,-36.387181324317496,0.9961114346937924,0.9909266809521822,0.6170466300217619,2.0850963755346047e-06,0.30100057505247574,0.00014737817047434198,0.08180333165891256
